it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
180,19,0,4, 15, 1,18
181,19,0,4, 15, 1,18
182,19,0,4, 15, 1,18
183,19,0,4, 15, 1,18
184,19,0,4, 15, 1,18
185,19,0,4, 15, 1,18
186,19,0,4, 15, 1,18
187,19,0,4, 15, 1,18
188,19,0,4, 15, 1,18
189,19,0,4, 15, 1,18
190,19,0,4, 15, 1,18
191,19,0,4, 15, 1,18
192,19,0,4, 15, 1,18
193,19,0,4, 15, 1,18
194,19,0,4, 15, 1,18
195,19,0,4, 15, 1,18
196,19,0,4, 15, 1,18
197,19,0,4, 15, 1,18
198,19,0,4, 15, 1,18
199,19,0,4, 15, 1,18
200,19,0,4, 15, 1,18
201,19,0,4, 15, 1,18
202,19,0,4, 15, 1,18
203,19,0,4, 15, 1,18
204,19,0,4, 15, 1,18
205,19,0,4, 15, 1,18
206,19,0,4, 15, 1,18
207,19,0,4, 15, 1,18
208,19,0,4, 15, 1,18
209,19,0,4, 15, 1,18
210,19,0,4, 15, 1,18
211,19,0,4, 15, 1,18
212,19,0,4, 15, 1,18
213,19,0,4, 15, 1,18
214,19,0,4, 15, 1,18
215,19,0,4, 15, 1,18
216,19,0,4, 15, 1,18
217,19,0,4, 15, 1,18
218,19,0,4, 15, 1,18
219,19,0,4, 15, 1,18
220,19,0,4, 15, 1,18
221,19,0,4, 15, 1,18
222,19,0,4, 15, 1,18
223,19,0,4, 15, 1,18
224,20,0,5, 15, 1,19
225,20,0,5, 15, 1,19
226,20,0,5, 15, 1,19
227,20,0,5, 15, 1,19
228,21,0,5, 16, 1,20
229,21,0,5, 16, 1,20
230,21,0,5, 16, 1,20
231,21,0,5, 16, 1,20
232,21,0,5, 16, 1,20
233,21,0,5, 16, 1,20
234,21,0,5, 16, 1,20
235,21,0,5, 16, 1,20
236,22,0,6, 16, 2,20
237,22,0,6, 16, 2,20
238,22,0,6, 16, 2,20
239,22,0,6, 16, 2,20
240,24,0,8, 16, 4,20
241,24,0,8, 16, 4,20
242,24,0,8, 16, 4,20
243,24,0,8, 16, 4,20
244,24,0,8, 16, 4,20
245,24,0,8, 16, 4,20
246,24,0,8, 16, 4,20
247,24,0,8, 16, 4,20
248,24,0,8, 16, 4,20
249,24,0,8, 16, 4,20
250,24,0,8, 16, 4,20
251,24,0,8, 16, 4,20
252,24,0,8, 16, 4,20
253,25,0,8, 17, 4,21
254,25,0,8, 17, 4,21
255,25,0,8, 17, 4,21
256,25,0,8, 17, 4,21
257,25,0,8, 17, 4,21
258,25,0,8, 17, 4,21
259,25,0,8, 17, 4,21
260,25,0,8, 17, 4,21
261,25,0,8, 17, 4,21
262,25,0,8, 17, 4,21
263,26,0,8, 18, 4,22
264,26,0,8, 18, 4,22
265,26,0,8, 18, 4,22
266,26,0,8, 18, 4,22
267,26,0,8, 18, 4,22
268,26,0,8, 18, 4,22
269,27,0,8, 19, 4,23
270,27,0,8, 19, 4,23
271,27,0,8, 19, 4,23
272,27,0,8, 19, 4,23
273,27,0,8, 19, 4,23
274,27,0,8, 19, 4,23
275,27,0,8, 19, 4,23
276,27,0,8, 19, 4,23
277,27,0,8, 19, 4,23
278,27,0,8, 19, 4,23
279,27,0,8, 19, 4,23
280,27,0,8, 19, 4,23
281,27,0,8, 19, 4,23
282,27,0,8, 19, 4,23
283,27,0,8, 19, 4,23
284,27,0,8, 19, 4,23
285,27,0,8, 19, 4,23
286,27,0,8, 19, 4,23
287,27,0,8, 19, 4,23
288,27,0,8, 19, 4,23
289,27,0,8, 19, 4,23
290,27,0,8, 19, 4,23
291,27,0,8, 19, 4,23
292,27,0,8, 19, 4,23
293,29,1,8, 20, 5,24
294,29,1,8, 20, 5,24
295,29,1,8, 20, 5,24
296,29,1,8, 20, 5,24
297,30,2,8, 20, 5,25
298,30,2,8, 20, 5,25
299,31,3,8, 20, 5,26
300,31,3,8, 20, 5,26
301,31,3,8, 20, 5,26
302,32,4,8, 20, 5,27
303,33,5,8, 20, 5,28
304,33,5,8, 20, 5,28
305,33,5,8, 20, 5,28
306,34,6,8, 20, 5,29
307,34,6,8, 20, 5,29
308,34,6,8, 20, 5,29
309,34,6,8, 20, 5,29
310,36,8,8, 20, 6,30
311,36,8,8, 20, 6,30
312,36,8,8, 20, 6,30
313,36,8,8, 20, 6,30
